"","entity_id","sample_id","interp_age","interp_age_uncert_pos","interp_age_uncert_neg","age_model_type","d13C_measurement","d13C_precision"
"293",277,204787,1061.58,NA,NA,"linear",-8.21,0.1
"294",277,204787,1011,126.05,133,"sisal: Bchron",-8.21,0.1
"295",277,204788,1062.37,NA,NA,"linear",-8.54,0.1
"296",277,204788,1013,125,133,"sisal: Bchron",-8.54,0.1
"297",277,204789,1063.15,NA,NA,"linear",-8.77,0.1
"298",277,204789,1014,126.05,133,"sisal: Bchron",-8.77,0.1
"299",277,204790,1063.94,NA,NA,"linear",-8.95,0.1
"300",277,204790,1016,126,132.05,"sisal: Bchron",-8.95,0.1
"301",277,204791,1064.73,NA,NA,"linear",-9.04,0.1
"302",277,204791,1018,125,132,"sisal: Bchron",-9.04,0.1
"303",277,204792,1065.51,NA,NA,"linear",-9.09,0.1
"304",277,204792,1020,123.05,132,"sisal: Bchron",-9.09,0.1
"305",277,204793,1066.3,NA,NA,"linear",-8.87,0.1
"306",277,204793,1021.5,122.55,131.5,"sisal: Bchron",-8.87,0.1
"307",277,204794,1067.08,NA,NA,"linear",-8.71,0.1
"308",277,204794,1023,123,132,"sisal: Bchron",-8.71,0.1
"309",277,204795,1067.87,NA,NA,"linear",-8.62,0.1
"310",277,204795,1025,122,132,"sisal: Bchron",-8.62,0.1
"311",277,204796,1068.65,NA,NA,"linear",-8.49,0.1
"312",277,204796,1026,121.05,131,"sisal: Bchron",-8.49,0.1
"313",277,204797,1069.44,NA,NA,"linear",-8.31,0.1
"314",277,204797,1028,121,131,"sisal: Bchron",-8.31,0.1
"315",277,204798,1070.22,NA,NA,"linear",-8.11,0.1
"316",277,204798,1030,121,131,"sisal: Bchron",-8.11,0.1
"317",277,204799,1071.01,NA,NA,"linear",-8.1,0.1
"318",277,204799,1032,122.05,131,"sisal: Bchron",-8.1,0.1
"319",277,204800,1071.79,NA,NA,"linear",-8.1,0.1
"320",277,204800,1033,123.1,130,"sisal: Bchron",-8.1,0.1
"321",277,204801,1072.58,NA,NA,"linear",-8.23,0.1
"322",277,204801,1035,123,130,"sisal: Bchron",-8.23,0.1
"323",277,204802,1073.36,NA,NA,"linear",-8.18,0.1
"324",277,204802,1036,123.1,129,"sisal: Bchron",-8.18,0.1
"325",277,204803,1074.15,NA,NA,"linear",-8.12,0.1
"326",277,204803,1037,124.05,128.05,"sisal: Bchron",-8.12,0.1
"327",277,204804,1074.94,NA,NA,"linear",-7.99,0.1
"328",277,204804,1038.5,124.5,127.55,"sisal: Bchron",-7.99,0.1
"329",277,204805,1075.72,NA,NA,"linear",-8.07,0.1
"330",277,204805,1040.5,123.5,127.55,"sisal: Bchron",-8.07,0.1
"331",277,204806,1076.51,NA,NA,"linear",-8.08,0.1
"332",277,204806,1042,123.05,128,"sisal: Bchron",-8.08,0.1
"333",277,204807,1077.29,NA,NA,"linear",-8.08,0.1
"334",277,204807,1043.5,123.5,127.5,"sisal: Bchron",-8.08,0.1
"335",277,204808,1078.08,NA,NA,"linear",-7.87,0.1
"336",277,204808,1045,123.05,126.05,"sisal: Bchron",-7.87,0.1
"337",277,204809,1078.86,NA,NA,"linear",-7.68,0.1
"338",277,204809,1047,122.1,126.05,"sisal: Bchron",-7.68,0.1
"339",277,204810,1079.65,NA,NA,"linear",-7.6,0.1
"340",277,204810,1048,123.05,125.05,"sisal: Bchron",-7.6,0.1
"341",277,204811,1080.43,NA,NA,"linear",-7.78,0.1
"342",277,204811,1050,122.1,124.1,"sisal: Bchron",-7.78,0.1
"343",277,204812,1081.22,NA,NA,"linear",-8.01,0.1
"344",277,204812,1051.5,121.6,123.6,"sisal: Bchron",-8.01,0.1
"345",277,204813,1082,NA,NA,"linear",-8.07,0.1
"346",277,204813,1053,122.05,124.05,"sisal: Bchron",-8.07,0.1
"347",277,204814,1082.79,NA,NA,"linear",-7.89,0.1
"348",277,204814,1054,122.05,124,"sisal: Bchron",-7.89,0.1
"349",277,204815,1083.58,NA,NA,"linear",-7.97,0.1
"350",277,204815,1055,122,124,"sisal: Bchron",-7.97,0.1
"351",277,204816,1084.36,NA,NA,"linear",-8.16,0.1
"352",277,204816,1056,121.05,122.05,"sisal: Bchron",-8.16,0.1
"353",277,204817,1085.15,NA,NA,"linear",-8.42,0.1
"354",277,204817,1058,121,122.05,"sisal: Bchron",-8.42,0.1
"355",277,204818,1085.93,NA,NA,"linear",-8.4,0.1
"356",277,204818,1059.5,121.5,121.55,"sisal: Bchron",-8.4,0.1
"357",277,204819,1086.72,NA,NA,"linear",-8.29,0.1
"358",277,204819,1060.5,122.5,120.55,"sisal: Bchron",-8.29,0.1
"359",277,204820,1087.5,NA,NA,"linear",-8.15,0.1
"360",277,204820,1062,121.1,120.05,"sisal: Bchron",-8.15,0.1
"361",277,204821,1088.29,NA,NA,"linear",-8,0.1
"362",277,204821,1063,120.15,120,"sisal: Bchron",-8,0.1
"363",277,204822,1089.07,NA,NA,"linear",-7.89,0.1
"364",277,204822,1065,120.15,120,"sisal: Bchron",-7.89,0.1
"365",277,204823,1089.86,NA,NA,"linear",-7.78,0.1
"366",277,204823,1066,120.15,119.05,"sisal: Bchron",-7.78,0.1
"367",277,204824,1090.64,NA,NA,"linear",-8.08,0.1
"368",277,204824,1067,120.1,118,"sisal: Bchron",-8.08,0.1
"369",277,204825,1091.43,NA,NA,"linear",-8.34,0.1
"370",277,204825,1068,120.1,117,"sisal: Bchron",-8.34,0.1
"371",277,204826,1092.22,NA,NA,"linear",-8.83,0.1
"372",277,204826,1070,120,118,"sisal: Bchron",-8.83,0.1
"373",277,204827,1093,NA,NA,"linear",-9.2,0.1
"374",277,204827,1071,120,117,"sisal: Bchron",-9.2,0.1
"375",277,204828,1093.79,NA,NA,"linear",-9.43,0.1
"376",277,204828,1072,120.2,116,"sisal: Bchron",-9.43,0.1
"377",277,204829,1094.57,NA,NA,"linear",-9.32,0.1
"378",277,204829,1073,123.05,115,"sisal: Bchron",-9.32,0.1
"379",277,204830,1095.36,NA,NA,"linear",-9.01,0.1
"380",277,204830,1074,124.05,114,"sisal: Bchron",-9.01,0.1
"381",277,204831,1096.14,NA,NA,"linear",-8.91,0.1
"382",277,204831,1075.5,123.55,114.5,"sisal: Bchron",-8.91,0.1
"383",277,204832,1096.93,NA,NA,"linear",-9.14,0.1
"384",277,204832,1077,123.05,114,"sisal: Bchron",-9.14,0.1
"385",277,204833,1097.71,NA,NA,"linear",-9.52,0.1
"386",277,204833,1078,123,113,"sisal: Bchron",-9.52,0.1
"387",277,204834,1098.5,NA,NA,"linear",-9.55,0.1
"388",277,204834,1080,123,113,"sisal: Bchron",-9.55,0.1
"389",277,204835,1099.28,NA,NA,"linear",-9.41,0.1
"390",277,204835,1081,123.05,112.05,"sisal: Bchron",-9.41,0.1
"391",277,204836,1100.07,NA,NA,"linear",-9.14,0.1
"392",277,204836,1082,123,112,"sisal: Bchron",-9.14,0.1
"393",277,204837,1100.85,NA,NA,"linear",-9,0.1
"394",277,204837,1083,123,111,"sisal: Bchron",-9,0.1
"395",277,204838,1101.64,NA,NA,"linear",-8.87,0.1
"396",277,204838,1084,123,110.05,"sisal: Bchron",-8.87,0.1
"397",277,204839,1102.43,NA,NA,"linear",-8.74,0.1
"398",277,204839,1085,123.05,109.1,"sisal: Bchron",-8.74,0.1
"399",277,204840,1103.21,NA,NA,"linear",-8.49,0.1
"400",277,204840,1087,122.05,109.15,"sisal: Bchron",-8.49,0.1
"401",277,204841,1104,NA,NA,"linear",-8.11,0.1
